Name,Critic_Score,Developer
Pokémon Mystery Dungeon: Blue Rescue Team,62,ChunSoft
Dark Souls,89,From Software
Just Dance 3,70,Ubisoft
Battlefield 4,81,EA DICE
Fire Emblem: Awakening,92,Intelligent Systems
Need for Speed: The Run,64,Black Box
Dragon Age: Inquisition,89,BioWare
Dead Space,88,EA Redwood Shores
Mortal Kombat vs. DC Universe,76,Midway
TouchMaster,71,Midway Studios - San Diego
Tenchu: Stealth Assassins,87,Acquire
Harry Potter and the Chamber of Secrets,76,Eurocom Entertainment Software
Kingdom Hearts 358/2 Days,75,h.a.n.d. Inc.
Skate 3,80,EA Black Box
Need for Speed Rivals,80,Ghost Games
Spyro: Enter the Dragonfly,56,Check Six Games
Devil May Cry 2,68,Capcom
Hot Shots Golf: Open Tee,81,Clap Hanz
Forza Horizon,85,"PLAYGROUND, Playground Games"
Tom Clancy's Rainbow Six: Vegas,88,Ubisoft Montreal
Crash Nitro Kart,69,Vicarious Visions
Resident Evil 6,67,Capcom
Grand Theft Auto: San Andreas,93,Rockstar North
NBA Street Vol. 2,90,Electronic Arts
Def Jam Vendetta,80,Aki Corp.
Kirby Squeak Squad,71,"Flagship, HAL Labs"
Burnout Paradise,87,Criterion Games
The Sims 3,78,The Sims Studio
FIFA Soccer 09,87,EA Canada
Dragon Ball Z: Budokai 3,77,Dimps Corporation
Call of Duty: World at War,83,Exakt
Tom Clancy's Ghost Recon,63,Ubisoft
BioShock Infinite,93,Irrational Games
X-Men Legends,79,Raven Software
Mortal Kombat vs. DC Universe,72,Midway
Destiny: The Taken King,86,Bungie
Red Faction,88,Volition Inc.
The Sims: Makin' Magic,80,Maxis
Mario Party: Island Tour,57,"Nintendo, Nd Cube"
MX Unleashed,80,Rainbow Studios
PaRappa The Rapper,92,NanaOn-Sha
Guitar Hero: World Tour,84,Neversoft Entertainment
Need for Speed: Shift,83,Slightly Mad Studios
Diablo III,86,Blizzard Entertainment
LittleBigPlanet 3,79,Sumo Digital
Star Wars Rogue Leader: Rogue Squadron II,90,Factor 5
Mario Super Sluggers,69,Namco Bandai Games
Monopoly,70,Electronic Arts
Madden NFL 09,85,EA Tiburon
Batman: Arkham Origins,74,WB Games Montreal
Game Party 2,29,Midway
Mortal Kombat: Deception,81,Midway
NBA 2K17,88,Visual Concepts
Toy Story Mania!,49,Papaya Studios
Star Fox Adventures,82,Rare Ltd.
Madden NFL 25,76,EA Sports
Dynasty Warriors 3,78,Omega Force
Madden NFL 06,86,EA Sports
Shrek 2,71,"Luxoflux, Inc."
The Legend of Dragoon,74,SCEI
Star Wars: The Force Unleashed,71,Krome Studios
NBA Live 2002,70,Electronic Arts
Just Cause 3,73,Avalanche Studios
Chrono Cross,94,SquareSoft
Jak 3,84,Naughty Dog
Kingdom Hearts: Chain of Memories,76,Jupiter Corporation
Max Payne 3,87,Rockstar Studios
LEGO Marvel Super Heroes,82,TT Games
Phineas and Ferb,80,Altron
NCAA Football 06,87,EA Sports
Rayman Raving Rabbids 2,67,Ubisoft Montpellier
Kirby: Triple Deluxe,80,HAL Labs
Sonic Classic Collection,70,Creative Assembly
inFAMOUS 2,83,Sucker Punch
World of Warcraft: Mists of Pandaria,82,Blizzard Entertainment
Namco Museum,72,Mass Media
The Sims: Hot Date,85,Maxis
Demon's Souls,89,From Software
